Units_Sold,Revenue,Marketing_Spend,Holiday_Indicator,Season,Forecast_Demand
41.0,1350.547196549633,8329.692645436488,0,3,219.78
40.0,4876.262657653503,1265.5437327924342,0,3,101.53
44.0,7581.268017584357,2713.123263641005,0,3,121.32
23.0,4550.80676903913,3531.8168204550234,0,3,125.91
54.0,7871.611835911968,9327.608513290796,0,3,264.6
70.0,6187.186993398209,8166.870607335991,0,3,252.84
43.0,4047.520488612726,8957.305778763859,0,3,236.09
40.0,3332.1119821479,4964.312324595587,0,3,154.96
88.0,11321.23150094214,8403.058821487779,1,3,273.54
30.0,4592.791161878556,8681.442146620737,0,3,225.32
18.0,3015.0749060281364,4599.611414874997,0,3,136.33
37.0,3514.5101104899245,9950.156629698276,0,3,281.77
30.0,4470.225912198812,8661.147662942823,0,3,236.19
69.0,12759.484593009822,9766.872718703098,0,3,282.4
55.0,10216.165465061984,8798.47397780649,0,3,271.25
59.0,8656.788008829504,7985.832762300472,0,3,241.26
87.0,11713.888339444316,9494.594861180913,0,3,292.46
51.0,5899.409373319562,4778.373201261311,0,3,180.89
82.0,4343.997582368218,8050.000901471763,0,3,249.34
97.0,4098.573734490607,2916.020853244986,0,3,157.36
59.0,6338.250892103219,7595.144692489693,1,3,262.72
83.0,4042.095693739442,8068.179547471535,0,3,245.36
65.0,8050.899130331231,7448.719688952308,0,3,234.22
89.0,12124.157739425516,8648.317588214455,0,3,255.63
40.0,4584.432302144293,4720.019021646451,0,3,170.46
39.0,1035.7155218385478,5902.913188679423,0,3,176.8
65.0,1975.4171179872865,1096.006696257439,0,3,103.73
56.0,2262.4791415893737,2314.478467054216,0,3,144.21
64.0,3049.999673465665,6797.745330650395,0,3,222.38
71.0,14070.699803972078,6060.854796805405,0,3,209.4
90.0,7380.819273182584,2775.992621872636,0,3,149.9
69.0,5006.309300624775,3191.183147442534,0,3,157.3
61.0,1793.8876595932352,4096.739817311122,0,3,161.22
71.0,9539.394592961924,7447.732416491583,0,3,223.38
64.0,8793.237844712354,6487.449423969709,0,3,213.25
61.0,3146.4266115737382,1626.1413775776082,0,3,112.71
48.0,8902.246913588657,7839.452341111245,0,3,204.17
83.0,13619.373586131202,3363.936067198266,0,3,155.31
71.0,4363.480868799953,7045.837105639782,0,3,203.59
102.0,10960.201059627629,2110.265601953954,0,3,146.63
55.0,5638.069476368614,9981.291490472511,0,3,276.68
73.0,6039.558638658095,1723.016536189427,0,3,152.23
121.0,20228.084045341857,7675.606255608956,0,3,281.19
67.0,2657.7296965910814,5871.9732332778585,0,3,198.52
82.0,7770.03817985822,1773.4527215572448,1,3,176.13
63.0,6113.873020428121,1241.2941179567997,0,3,101.98
61.0,6366.607138663693,4263.991457650108,0,3,161.97
119.0,20830.116809332627,8220.015388064296,0,3,294.1
92.0,5452.843370536861,1370.3611625325325,0,3,136.53
92.0,3544.4077533632367,7339.587969952487,1,3,266.71
56.0,7347.509305236768,6898.386486378148,0,3,211.23
98.0,5026.440138612752,3389.839090954905,0,3,167.87
115.0,3851.0941771906287,1697.4283216140125,0,3,152.57
115.0,11131.638865820809,9237.89764498656,0,3,300.68
106.0,6310.853900773329,3703.1482246305154,0,3,168.39
70.0,5951.329397736594,2002.44908608085,0,3,128.78
100.0,6674.799441844235,7133.6537052482445,1,3,265.47
107.0,3924.1782720529873,2950.131059124652,1,3,176.89
59.0,7130.88729505502,5280.676800063669,0,3,203.56
73.0,1815.0220130388416,1453.6498981242976,0,3,122.24
113.0,21916.074578206088,9936.855540172945,0,1,323.08
